,P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_MASS_LIMIT,P_MASS_ORIGIN,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_RADIUS_LIMIT,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_PERIOD_LIMIT,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_SEMI_MAJOR_AXIS_LIMIT,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_ECCENTRICITY_LIMIT,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_INCLINATION_LIMIT,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_OMEGA_LIMIT,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_MAG_ERROR_MIN,S_MAG_ERROR_MAX,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_TEMPERATURE_LIMIT,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_MASS_LIMIT,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_RADIUS_LIMIT,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_METALLICITY_LIMIT,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_AGE_LIMIT,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_LOG_LUM_LIMIT,S_LOG_G,S_LOG_G_ERROR_MIN,S_LOG_G_ERROR_MAX,S_LOG_G_LIMIT,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
59,Kepler-32 d,Transit,Kepler,2012,4/16/2019,7.75,,,0,M-R relationship,2.7,-0.2,0.2,0,22.7802,-0.0005,0.0005,0,0.13,,,0,0.0,,,0,89.99,,,0,,,,0,Kepler-32,,,M1 V,297.84231,46.574359,19h51m22.15s,+46d34m27.69s,16.36,-0.549,0.549,323.847,-3.4025,3.4025,3900.0,-200.0,200.0,0,0.58,-0.05,0.05,0,0.53,-0.04,0.04,0,0.0,-0.4,0.4,0,2.69,-1.17,3.46,0,-1.292,-0.074,0.063,0,4.64,-0.3,0.3,0,1.6942167,2.8703704,1.0631001,0.39374079,0.003085696,0.13,0.13,0.13,0.13,3.0207396,3.0207396,3.0207396,335.83661,335.83661,335.83661,,379.27467,379.27467,Neptunian,M,19 51 22.15,+46 34 27.69,0.0510505,0.1836407,0.46713382,0.23260919,0.44288021,0.24649202,0.44288021,0.22454627,0.44288021,0.61004766,0.067166092,0.35182461,0,0,Hot,0,0.51849781,Cygnus,Cyg,Swan
60,K2-286 b,Transit,K2,2018,1/3/2019,5.06,,,0,M-R relationship,2.1,-0.2,0.2,0,27.359,-0.005,0.005,0,0.1768,-0.0205,0.0175,0,,,,0,89.67,-0.25,0.21,0,,,,0,K2-286,,,M0 V,233.36982,-16.773711,15h33m28.76s,-16d46m25.36s,12.881,-0.13,0.13,76.1486,-0.235,0.2364,3926.0,-100.0,100.0,0,0.64,-0.02,0.02,0,0.62,-0.02,0.02,0,0.0,-0.5,0.5,0,,,,0,-1.046,-0.352,0.192,0,4.7,-0.2,0.2,0,1.5522641,2.4095238,1.1473923,0.54637728,0.003523095,0.1768,0.1768,0.1768,0.1768,2.8776335,2.8776335,2.8776335,331.7864,331.7864,331.7864,374.7006,374.7006,374.7006,Superterran,M,15 33 28.76,-16 46 25.36,0.089949758,0.24363741,0.61894504,0.30860435,0.58680965,0.3270126,0.58680965,0.29790839,0.58680965,0.80977388,0.072577133,0.39756772,0,0,Hot,0,0.57551151,Libra,Lib,Scales
61,K2-9 b,Transit,K2,2015,9/5/2019,5.69,,,0,M-R relationship,2.25,-0.96,0.53,0,18.4498,-0.0015,0.0015,0,0.091,-0.016,0.013,0,,,,0,87.983,-0.08,1.593,0,,,,0,K2-9,,,M2.5 V,176.26372,0.0054085,11h45m03.29s,+00d00m19.47s,15.86,-0.195,0.195,82.9631,-0.3714,0.3747,3390.0,-150.0,150.0,0,0.3,-0.14,0.14,0,0.31,-0.11,0.11,0,-0.25,-0.2,0.2,0,1.0,,,-1,-1.921,-0.778,0.263,0,4.82,-0.07,0.07,-1,1.5902481,2.5288889,1.1239506,0.49953361,0.002427487,0.091,0.091,0.091,0.091,1.4484957,1.4484957,1.4484957,279.46602,279.46602,279.46602,315.61296,315.61296,315.61296,Superterran,M,11 45 03.29,+00 00 19.47,0.011994993,0.089694208,0.23401794,0.1136103,0.22186522,0.1204608,0.22186522,0.10966145,0.22186522,0.29570847,0.022448862,0.23947779,1,0,Warm,2,0.6987684,Virgo,Vir,Virgin
62,GJ 367 d,Radial Velocity,La Silla Observatory,2023,8/7/2023,6.03,-0.49,0.49,0,Msini,2.33,,,0,34.369,-0.073,0.073,0,0.15966392,,,0,0.14,-0.09,0.09,0,,,,0,-126.0,-38.0,287.0,0,GJ 367,,HIP 47780,M1.0 V,146.12146,-45.779016,09h44m29.15s,-45d46m44.46s,10.153,-0.044,0.044,9.41263,-0.002835,0.002835,3522.0,-70.0,70.0,0,0.46,-0.01,0.01,0,0.46,-0.01,0.01,0,-0.01,-0.12,0.12,0,,,,0,-1.539,-0.043,0.042,0,4.78,-0.03,0.03,0,1.6087209,2.5879828,1.1107222,0.47670483,0.003238498,0.16122863,0.13731097,0.18201687,0.16005764,1.145209,0.87252263,1.5331671,262.54969,246.20331,283.46346,296.50862,278.04795,320.12744,Superterran,M,09 44 29.15,-45 46 44.46,0.028906799,0.1390212,0.36036882,0.17609049,0.34165579,0.18668173,0.34165579,0.16997484,0.34165579,0.45905399,0.032475868,0.35612604,1,0,Warm,2,0.71355472,Vela,Vel,Sails
63,Kepler-1040 b,Transit,Kepler,2016,4/16/2019,4.98,,,0,M-R relationship,2.08,-0.1,0.18,0,201.1214,-0.001945,0.001945,0,0.6559,,,0,0.0,,,0,90.0,,,0,,,,0,Kepler-1040,,,,283.11377,48.131277,18h52m27.30s,+48d07m52.60s,13.614,-0.16,0.16,482.119,-3.223,3.267,5694.0,-65.65,78.24,0,0.98,-0.04,0.04,0,0.96,-0.05,0.06,0,0.01,-0.102,0.094,0,4.17,-2.2,2.86,0,-0.044,-0.018,0.013,0,4.47,-0.06,0.04,0,1.5473302,2.3942308,1.1510725,0.55340023,0.01127952,0.6559,0.6559,0.6559,0.6559,2.1005099,2.1005099,2.1005099,306.67678,306.67678,306.67678,346.34323,346.34323,346.34323,Superterran,G,18 52 27.30,+48 07 52.60,0.90364947,0.71698827,1.6930801,0.9081566,1.6051938,0.96039743,1.6051938,0.87666122,1.6051938,2.5666329,1.7442888,0.45080585,0,0,Hot,0,0.64719639,Draco,Dra,Dragon
64,Kepler-1512 b,Transit,Kepler,2016,4/16/2019,1.76,,,0,M-R relationship,1.18,-0.11,0.07,0,20.359726,-5.87e-05,5.874e-05,0,0.1097,-0.0079,0.0045,0,0.0,,,0,89.45,-0.14,0.004,0,,,,0,Kepler-1512,,,,289.2745,44.470406,19h17m05.88s,+44d28m13.46s,13.451,-0.08,0.08,162.0,-15.914,5.797,4372.0,-63.7,59.14,0,0.73,-0.1,0.02,0,0.67,-0.06,0.02,0,0.2,-0.39,0.106,0,1.78,-0.505,2.68,0,-1.695,-0.228,0.132,0,4.64,-0.01,0.02,0,1.2212802,1.4915254,1.2640046,1.0711903,0.00147137,0.1097,0.1097,0.1097,0.1097,1.6772073,1.6772073,1.6772073,289.89879,289.89879,289.89879,327.39512,327.39512,327.39512,Terran,K,19 17 05.88,+44 28 13.46,0.020183664,0.11409524,0.28358526,0.14451948,0.26886318,0.15305663,0.26886318,0.13951733,0.26886318,0.3835869,0.16316088,0.3545976,0,0,Hot,0,0.81184745,Cygnus,Cyg,Swan
65,Kepler-1554 b,Transit,Kepler,2016,4/16/2019,8.75,,,0,M-R relationship,2.9,-0.27,0.23,0,198.08877,-0.002456,0.002456,0,0.6314,,,0,0.0,,,0,89.77,,,0,,,,0,Kepler-1554,,,,286.57602,41.741576,19h06m18.24s,+41d44m29.67s,15.93,-0.115,0.115,946.847,-29.695,31.643,5297.0,-97.44,102.5,0,0.84,-0.06,0.05,0,0.81,-0.06,0.06,0,-0.1,-0.185,0.166,0,4.68,-3.03,6.3,0,-0.393,,,0,4.56,-0.07,0.04,0,1.7370208,3.0172414,1.0404281,0.3587683,0.013793233,0.6314,0.6314,0.6314,0.6314,1.0148243,1.0148243,1.0148243,255.68039,255.68039,255.68039,,288.75082,288.75082,Neptunian,K,19 06 18.24,+41 44 29.67,0.40457589,0.49072248,1.1733548,0.62156856,1.1124465,0.65758134,1.1124465,0.60004179,1.1124465,1.7173696,0.83771052,0.43654154,1,1,Warm,0,0.6554728,Lyra,Lyr,Lyre
66,Kepler-1544 b,Transit,Kepler,2016,4/16/2019,3.82,,,0,M-R relationship,1.78,-0.07,0.09,0,168.81117,-0.001271,0.001271,0,0.5421,-0.0088,0.0069,0,0.0,,,0,89.797,-0.022,0.007,0,,,,0,Kepler-1544,,,,297.28522,49.212453,19h49m08.45s,+49d12m44.83s,14.287,-0.114,0.114,335.09,-1.65,1.666,4886.0,-56.64,73.93,0,0.81,-0.03,0.02,0,0.74,-0.02,0.02,0,0.02,-0.109,0.113,0,2.34,-0.872,2.15,0,-0.606,-0.067,0.071,0,4.61,-0.01,0.01,0,1.4649462,2.1460674,1.2056559,0.67733475,0.009093354,0.5421,0.5421,0.5421,0.5421,0.84302642,0.84302642,0.84302642,244.09563,244.09563,244.09563,275.66766,275.66766,275.66766,Superterran,K,19 49 08.45,+49 12 44.83,0.24774221,0.39192804,0.95198527,0.49643568,0.90256701,0.52543721,0.90256701,0.4792564,0.90256701,1.3438901,0.4084837,0.38422812,1,1,Warm,2,0.79266351,Cygnus,Cyg,Swan
67,Kepler-1410 b,Transit,Kepler,2016,4/16/2019,3.82,,,0,M-R relationship,1.78,-0.14,0.12,0,60.866168,-0.0005161,0.0005161,0,0.2543,-0.0038,0.0043,0,0.0,,,0,89.75,-0.052,0.004,0,,,,0,Kepler-1410,,,,290.51029,38.743501,19h22m02.47s,+38d44m36.60s,16.319,-0.115,0.115,367.0,-30.161,27.913,4092.0,-77.85,100.24,0,0.63,-0.04,0.04,0,0.6,-0.04,0.03,0,0.01,-0.152,0.152,0,4.07,-2.35,6.04,0,-1.158,-0.073,0.058,0,4.67,-0.02,0.03,0,1.4649462,2.1460674,1.2056559,0.67733475,0.004638446,0.2543,0.2543,0.2543,0.2543,1.0747496,1.0747496,1.0747496,259.37405,259.37405,259.37405,292.92224,292.92224,292.92224,Superterran,K,19 22 02.47,+38 44 36.60,0.069502432,0.21337628,0.53761332,0.27027434,0.50970192,0.28633854,0.50970192,0.26091273,0.50970192,0.71180947,0.096023068,0.38749915,1,0,Warm,2,0.79997417,Lyra,Lyr,Lyre
68,Kepler-1550 b,Transit,Kepler,2016,4/16/2019,9.38,,,0,M-R relationship,3.02,-0.38,0.71,0,225.58281,-0.003846,0.003846,0,0.7681,,,0,0.0,,,0,89.98,,,0,,,,0,Kepler-1550,,,,287.76461,38.294708,19h11m03.51s,+38d17m40.95s,15.107,-0.149,0.149,1179.01,-31.74,33.51,5991.0,-159.37,161.09,0,1.07,-0.08,0.1,0,1.11,-0.14,0.26,0,0.01,-0.184,0.12,0,3.55,-2.0,2.22,0,0.119,,,0,4.38,-0.15,0.09,0,1.7623735,3.1059603,1.0284637,0.34055088,0.015841977,0.7681,0.7681,0.7681,0.7681,2.2292792,2.2292792,2.2292792,311.27255,311.27255,311.27255,,351.53344,351.53344,Neptunian,G,19 11 03.51,+38 17 40.95,1.3152248,0.84960672,1.9911244,1.0761259,1.8877671,1.1377318,1.8877671,1.0387584,1.8877671,3.0964478,2.9918145,0.45191576,0,0,Hot,0,0.55424171,Lyra,Lyr,Lyre
69,Kepler-1540 b,Transit,Kepler,2016,9/25/2018,6.76,,,0,M-R relationship,2.49,-0.14,0.19,0,125.41312,-0.0004189,0.0004189,0,0.4426,,,0,0.0,,,0,89.82,,,0,,,,0,Kepler-1540,,,,283.34456,41.201754,18h53m22.69s,+41d12m06.32s,14.429,-0.08,0.08,244.96,-0.896,0.903,4540.0,-88.2,69.37,0,0.74,-0.04,0.03,0,0.69,-0.03,0.03,0,0.1,-0.196,0.154,0,2.51,-1.1,5.32,0,-0.818,,,0,4.63,-0.02,0.01,0,1.6476831,2.7148594,1.090305,0.43787349,0.009254827,0.4426,0.4426,0.4426,0.4426,0.77620633,0.77620633,0.77620633,239.10794,239.10794,239.10794,270.03485,270.03485,270.03485,Superterran,K,18 53 22.69,+41 12 06.32,0.15205475,0.31139034,0.76790814,0.39442425,0.72804395,0.41763818,0.72804395,0.38077542,0.72804395,1.0528434,0.21874266,0.37720812,1,1,Warm,2,0.68524014,Lyra,Lyr,Lyre
70,Kepler-249 d,Transit,Kepler,2014,4/16/2019,3.09,,,0,M-R relationship,1.57,-0.14,0.14,0,15.368459,-7e-05,7e-05,0,0.097,,,0,0.0,,,0,89.86,,,0,,,,0,Kepler-249,,,M2 V,296.9853,43.658604,19h47m56.47s,+43d39m30.98s,16.37,-0.2,0.2,190.401,-1.2195,1.2195,3568.0,-150.0,150.0,0,0.51,-0.02,0.02,0,0.48,-0.02,0.02,0,-0.34,-0.095,0.09,0,3.09,-1.67,5.27,0,-1.495,-0.09,0.075,0,4.78,-0.2,0.2,0,1.4029087,1.9681529,1.2536006,0.79847169,0.001768831,0.097,0.097,0.097,0.097,3.3998248,3.3998248,3.3998248,345.91058,345.91058,345.91058,390.65164,390.65164,390.65164,Terran,M,19 47 56.47,+43 39 30.98,0.031988951,0.1461572,0.37800381,0.18512947,0.35837543,0.19625433,0.35837543,0.17870161,0.35837543,0.48290729,0.036376394,0.34493821,0,0,Hot,0,0.5836518,Cygnus,Cyg,Swan
71,Kepler-1606 b,Transit,Kepler,2016,4/16/2019,4.94,,,0,M-R relationship,2.07,-0.15,0.23,0,196.43522,-0.003935,0.003935,0,0.6421,-0.0089,0.0108,0,0.0,,,0,89.814,-0.065,0.011,0,,,,0,Kepler-1606,,,,286.3783,43.073229,19h05m30.79s,+43d04m23.62s,15.396,-0.126,0.126,831.287,-17.694,18.466,5422.0,-63.5,59.86,0,0.9,-0.04,0.04,0,0.86,-0.05,0.08,0,0.01,-0.162,0.144,0,4.27,-2.67,5.69,0,-0.171,-0.076,0.125,0,4.53,-0.09,0.04,0,1.5448215,2.3864734,1.1528857,0.55694962,0.011329639,0.6421,0.6421,0.6421,0.6421,1.6360428,1.6360428,1.6360428,288.10339,288.10339,288.10339,325.36751,325.36751,325.36751,Superterran,G,19 05 30.79,+43 04 23.62,0.67452803,0.62928821,1.4983249,0.797079,1.4205477,0.84315209,1.4205477,0.76946327,1.4205477,2.2175007,1.0625429,0.43992332,1,0,Warm,2,0.70025387,Lyra,Lyr,Lyre
72,Kepler-1593 b,Transit,Kepler,2016,4/16/2019,10.2,,,0,M-R relationship,3.17,-0.28,0.3,0,174.50984,-0.001852,0.001852,0,0.546,-0.0048,0.0112,0,0.0,,,0,89.847,-0.05,0.011,0,,,,0,Kepler-1593,,,,300.4882,44.46067,20h01m57.17s,+44d27m38.41s,16.19,-0.195,0.195,638.249,-12.85,13.378,4995.0,-219.42,243.24,0,0.81,-0.05,0.06,0,0.77,-0.05,0.07,0,0.02,-0.168,0.17,0,3.63,-2.01,6.39,0,-0.652,-0.068,0.07,0,4.59,-0.06,0.03,0,1.7937853,3.2176656,1.0150365,0.32020078,0.012706217,0.546,0.546,0.546,0.546,0.74750605,0.74750605,0.74750605,236.86636,236.86636,236.86636,,267.50333,267.50333,Neptunian,K,20 01 57.17,+44 27 38.41,0.22284351,0.36983904,0.89435979,0.46845577,0.84793328,0.49576084,0.84793328,0.45224252,0.84793328,1.2745702,0.49260815,0.41340045,1,1,Warm,0,0.61811258,Cygnus,Cyg,Swan
73,Kepler-1649 b,Transit,Kepler,2017,4/16/2020,1.03,,,0,M-R relationship,1.017,-0.051,0.051,0,8.689099,-2.5e-05,2.5e-05,0,0.0514,-0.0028,0.0028,0,0.0,,,0,89.15,-0.079,0.11,0,,,,0,Kepler-1649,,,,292.50297,41.829993,19h30m00.71s,+41d49m47.98s,17.95,-0.2,0.2,92.1913,-0.5425,0.5489,3240.0,-61.0,61.0,0,0.2,-0.01,0.01,0,0.23,0.0,0.0,0,-0.15,-0.11,0.11,0,,,,0,-2.287,-0.017,0.017,0,5.0,-0.02,0.02,0,1.0063711,1.0127827,0.99585319,0.97920668,0.000887873,0.0514,0.0514,0.0514,0.0514,1.9546714,1.9546714,1.9546714,301.20914,301.20914,301.20914,340.1684,340.1684,340.1684,Terran,M,19 30 00.71,+41 49 47.98,0.005164164,0.058946084,0.15491324,0.074663129,0.14686785,0.079177434,0.14686785,0.072065507,0.14686785,0.19402771,0.015155824,0.2697912,0,0,Hot,0,0.771452,Cygnus,Cyg,Swan
74,Kepler-1653 b,Transit,Kepler,2017,9/25/2018,5.35,,,0,M-R relationship,2.17,-0.23,0.16,0,140.2524,-0.003,0.003,0,0.4706,-0.0041,0.0098,0,0.0,,,0,89.788,-0.053,0.01,0,,,,0,Kepler-1653,,,,296.4577,41.266021,19h45m49.85s,+41d15m57.68s,15.864,-0.172,0.172,755.0,-36.0,44.0,4807.0,-100.0,100.0,0,0.72,-0.03,0.04,0,0.69,-0.02,0.03,0,-0.18,-0.1,0.1,0,7.7,-4.6,3.6,0,-0.636,-0.066,0.071,0,4.62,-0.03,0.02,0,1.5701713,2.4654378,1.1361464,0.52356979,0.009185672,0.4706,0.4706,0.4706,0.4706,1.0439896,1.0439896,1.0439896,257.49793,257.49793,257.49793,290.80345,290.80345,290.80345,Superterran,K,19 45 49.85,+41 15 57.68,0.23120648,0.37994198,0.92594059,0.48125412,0.877874,0.50941567,0.877874,0.46460123,0.877874,1.2982662,0.34291033,0.45055809,1,1,Warm,2,0.73857407,Cygnus,Cyg,Swan
75,HD 216520 c,Radial Velocity,Multiple Observatories,2020,12/10/2020,9.44,-1.63,1.63,0,Msini,3.03,,,0,154.43,-0.44,0.44,0,0.528,-0.01,0.01,0,0.12,-0.08,0.08,0,,,,0,198.12,-96.34,96.34,0,HD 216520,HD 216520,HIP 112527,K2,341.87687,83.697531,22h47m30.45s,+83d41m51.11s,7.53,-0.03,0.03,19.552,-0.0113,0.0113,5103.0,-20.0,20.0,0,0.82,-0.04,0.04,0,0.76,-0.01,0.01,0,-0.16,,,0,6.0,-3.0,3.0,0,-0.452,-0.004,0.004,0,4.54,-0.03,0.03,0,1.7650812,3.1155116,1.0282216,0.33934707,0.010494326,0.5318016,0.46464,0.59136,0.52895492,1.2760915,1.0099412,1.6359379,270.01655,255.37227,288.09878,304.94126,288.40285,325.3623,Superterran,K,22 47 30.45,+83 41 51.11,0.35318317,0.46314944,1.1153015,0.58664595,1.0574062,0.62076503,1.0574062,0.56633824,1.0574062,1.6045888,0.59546825,0.45135819,1,0,Warm,2,0.63363284,Cepheus,Cep,Cepheus
76,Kepler-1678 b,Transit,Kepler,2020,9/8/2020,10.9,,,0,M-R relationship,3.304,,,0,147.974,,,0,0.5302,,,0,0.0,,,0,89.99,,,0,,,,0,Kepler-1678,,,,292.59163,38.399563,19h30m21.99s,+38d23m58.43s,15.02,-0.092,0.092,847.339,-19.83,20.786,5754.0,-123.0,123.0,0,1.03,,,0,0.83,,,0,0.0,-0.15,0.15,0,0.3,-2.3,2.3,0,-0.162,,,0,4.61,,,0,1.8163236,3.2990315,0.99849621,0.3022083,0.011643621,0.5302,0.5302,0.5302,0.5302,2.4497432,2.4497432,2.4497432,318.69837,318.69837,318.69837,,359.91973,359.91973,Neptunian,G,19 30 21.99,+38 23 58.43,0.6886523,0.62367233,1.4702973,0.78995884,1.3939755,0.83535458,1.3939755,0.76255597,1.3939755,2.2405971,1.9660257,0.29559071,0,0,Hot,0,0.51876696,Cygnus,Cyg,Swan
77,Kepler-296 f,Transit,Kepler,2014,9/25/2018,3.89,,,0,M-R relationship,1.8,-0.3,0.31,0,63.33627,-0.00062,0.0006,0,0.255,-0.042,0.043,0,0.33,,,1,89.95,-0.12,0.05,0,,,,0,Kepler-296,,,M2 V,286.54003,49.437261,19h06m09.61s,+49d26m14.14s,16.363,-1.133,1.133,167.0,-20.247,21.428,3740.0,-130.0,130.0,0,0.5,-0.09,0.07,0,0.48,-0.09,0.07,0,-0.08,-0.3,0.28,0,4.2,-1.6,3.4,0,-1.569,-0.07,0.113,0,4.77,-0.06,0.09,0,1.4700718,2.1611111,1.2006173,0.6670096,0.00338631,0.26888475,0.17085,0.33915,0.258602,0.43949751,0.2345397,0.92420866,203.01764,177.27757,249.77112,229.27652,200.20716,282.07723,Superterran,M,19 06 09.61,+49 26 14.14,0.026977394,0.13387983,0.34329317,0.16957899,0.32546841,0.17973401,0.32546841,0.16369649,0.32546841,0.44346951,0.04856073,0.36065314,1,1,Warm,2,0.65849997,Draco,Dra,Dragon
78,TRAPPIST-1 c,Transit,La Silla Observatory,2016,11/14/2022,1.308,-0.056,0.056,0,Mass,1.097,-0.012,0.014,0,2.421937,-1.8e-05,1.8e-05,0,0.0158,-0.00013,0.00013,0,0.00654,-0.00188,0.00188,0,89.778,-0.118,0.118,0,282.45,-17.1,17.1,0,TRAPPIST-1,,,,346.62639,-5.0434618,23h06m30.33s,-05d02m36.46s,17.02,-0.2,0.2,12.429889,-0.0187066,0.0187066,2566.0,-26.0,26.0,0,0.09,0.0,0.0,0,0.12,0.0,0.0,0,0.04,-0.08,0.08,0,0.5,,,-1,-3.257,-0.015,0.015,0,5.24,-0.01,0.01,-1,1.0919445,1.1923428,1.0869123,0.99080425,0.000383161,0.015800338,0.015696668,0.015903332,0.015800084,2.2166397,2.1878813,2.2458723,310.82791,309.81729,311.85016,351.03128,349.88994,352.18575,Terran,M,23 06 30.33,-05 02 36.46,0.00055335,0.019437936,0.052571714,0.024620039,0.049840137,0.026122799,0.049840137,0.023759776,0.049840137,0.063513166,0.003648381,0.14282382,0,0,Hot,0,0.73055616,Aquarius,Aqr,Water Carrier
79,Kepler-230 c,Transit,Kepler,2014,4/16/2019,4.82,,,0,M-R relationship,2.04,-1.04,1.04,0,91.773242,-0.001618,0.001618,0,0.38,,,0,0.0,,,0,89.61,,,0,,,,0,Kepler-230,,,,285.71857,48.505804,19h02m52.46s,+48d30m20.89s,15.264,-0.126,0.126,740.754,-13.374,13.866,5588.0,-200.0,200.0,0,0.84,-0.06,0.05,0,0.82,-0.41,0.41,0,-0.14,-0.193,0.157,0,1.8,-4.0,4.0,0,-0.368,,,0,4.55,-0.3,0.3,0,1.5371223,2.3627451,1.1582084,0.56774921,0.006804947,0.38,0.38,0.38,0.38,2.9677875,2.9677875,2.9677875,334.35507,334.35507,334.35507,377.60151,377.60151,377.60151,Superterran,G,19 02 52.46,+48 30 20.89,0.42854852,0.49684801,1.1768519,0.62932282,1.1157625,0.66559043,1.1157625,0.60750649,1.1157625,1.7675177,1.3810656,0.37227455,0,0,Hot,0,0.57397581,Draco,Dra,Dragon
80,Kepler-344 c,Transit,Kepler,2014,9/25/2018,9.01,,,0,M-R relationship,2.95,-1.38,1.38,0,125.59681,-0.001728,0.001728,0,0.488,,,0,0.0,,,0,89.97,,,0,,,,0,Kepler-344,,,,292.49961,46.324341,19h29m59.91s,+46d19m27.63s,15.539,-0.629,0.629,1002.94,-29.7325,29.7325,5774.0,-200.0,200.0,0,0.93,-0.05,0.04,0,0.98,-0.45,0.45,0,0.04,-0.014,0.014,0,6.6,-3.2,3.2,0,-0.185,,,0,4.45,-0.3,0.3,0,1.7476376,3.0542373,1.0353347,0.35096091,0.010406045,0.488,0.488,0.488,0.488,2.7425866,2.7425866,2.7425866,327.82329,327.82329,327.82329,,370.22489,370.22489,Neptunian,G,19 29 59.91,+46 19 27.63,0.65313055,0.60664575,1.4293907,0.76839212,1.3551923,0.81253384,1.3551923,0.7417352,1.3551923,2.1820453,1.9666487,0.47823697,0,0,Hot,0,0.52015429,Cygnus,Cyg,Swan
81,Kepler-1868 b,Transit,Kepler,2021,12/5/2021,10.1,,,0,M-R relationship,3.15,,,0,211.034,,,0,0.6266,,,0,0.0,,,0,89.69,,,0,,,,0,Kepler-1868,,,,293.29837,43.555802,19h33m11.61s,+43d33m20.89s,14.157,-0.092,0.092,274.18,-0.9505,0.9505,4658.0,-93.0,93.0,0,0.74,-0.04,0.03,0,0.69,-0.03,0.04,0,0.0,-0.15,0.15,0,14.0,-3.8,3.8,0,-0.662,,,0,4.63,-0.04,0.02,0,1.7906282,3.2063492,1.0178886,0.32313925,0.014978633,0.6266,0.6266,0.6266,0.6266,0.55465026,0.55465026,0.55465026,219.83889,219.83889,219.83889,,248.27348,248.27348,Neptunian,K,19 33 11.61,+43 33 20.89,0.21777098,0.37100377,0.91004786,0.46993341,0.86280553,0.49752053,0.86280553,0.45367268,0.86280553,1.2599803,0.26790166,0.50233112,1,1,Warm,0,0.58139522,Cygnus,Cyg,Swan
82,Kepler-369 c,Transit,Kepler,2014,4/16/2019,2.57,,,0,M-R relationship,1.41,-0.06,0.06,0,14.871572,-8.3e-05,8.3e-05,0,0.094,,,0,0.0,,,0,89.98,,,0,,,,0,Kepler-369,,,,293.67433,47.908473,19h34m41.84s,+47d54m30.50s,16.429,-0.286,0.286,214.0,-15.439,14.682,3591.0,-100.0,100.0,0,0.5,-0.03,0.03,0,0.47,-0.01,0.01,0,-0.09,-0.082,0.09,0,4.17,-2.5,5.69,0,-1.42,-0.075,0.064,0,4.79,-0.1,0.1,0,1.3500722,1.822695,1.2926915,0.91680249,0.001622685,0.094,0.094,0.094,0.094,4.302732,4.302732,4.302732,366.88992,366.88992,366.88992,414.34452,414.34452,414.34452,Terran,M,19 34 41.84,+47 54 30.50,0.03801894,0.15928862,0.41149482,0.20176245,0.39012758,0.21388129,0.39012758,0.19475798,0.39012758,0.52645804,0.037593575,0.36022251,0,0,Hot,0,0.54345487,Cygnus,Cyg,Swan
